nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Estados Unidos,331002651,9833517,América
Canadá,38005238,9984670,América
México,128932753,1964375,América
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
España,47351567,505990,Europa
Italia,59554023,301340,Europa
Rusia,144104080,17098242,Europa
China,1411778724,9596961,Asia
India,1393409038,3287263,Asia
Japón,125800000,377975,Asia
Arabia Saudita,34813867,2149690,Asia
Australia,25687041,7692024,Oceanía
Nueva Zelanda,5084300,268021,Oceanía
Nigeria,206139589,923768,África
Sudáfrica,59308690,1221037,África
Egipto,102334404,1002450,África
Chile,19116209,756102,América
PaisPrueba,100,200,Europa
PruebaPais,1,2,Europa
